status,time
200,2019-02-13T18:17:45.184986
200,2019-02-13T18:18:50.642180
200,2019-02-13T18:18:52.721397
200,2019-02-13T18:18:55.412106
200,2019-02-13T18:18:57.614866
200,2019-02-13T18:33:01.534957
200,2019-02-13T18:39:21.320055
200,2019-02-13T18:40:55.771828
200,2019-02-13T18:41:01.096692
200,2019-02-13T18:41:06.420402
200,2019-02-13T18:41:11.751412
200,2019-02-13T18:41:17.071433
200,2019-02-13T18:41:22.393721
200,2019-02-13T18:41:27.715197
200,2019-02-13T18:41:33.039539
200,2019-02-13T18:42:59.688976
200,2019-02-13T18:43:05.015257
200,2019-02-13T18:43:10.341362
200,2019-02-13T18:43:15.664525
200,2019-02-13T18:43:42.938291
200,2019-02-13T18:43:48.262191
200,2019-02-13T18:43:53.586850
200,2019-02-13T18:43:58.904320
200,2019-02-13T18:44:00.004867
200,2019-02-13T18:44:04.237196
200,2019-02-13T18:44:05.339629
200,2019-02-13T18:44:09.563239
200,2019-02-13T18:44:10.663440
200,2019-02-13T18:44:14.887791
200,2019-02-13T18:44:15.983407
200,2019-02-13T18:44:20.213392
200,2019-02-13T18:44:21.307383
200,2019-02-13T18:44:25.535091
200,2019-02-13T18:44:26.629855
200,2019-02-13T18:44:30.859318
200,2019-02-13T18:44:31.956166
200,2019-02-13T18:44:36.185338
200,2019-02-13T18:44:37.274251
200,2019-02-13T18:44:41.505110
200,2019-02-13T18:44:42.596305
200,2019-02-13T18:44:46.827889
200,2019-02-13T18:44:47.924216
200,2019-02-13T18:44:52.146105
200,2019-02-13T18:44:53.247647
200,2019-02-13T18:44:57.463819
200,2019-02-13T18:44:58.566041
200,2019-02-13T18:45:02.789997
200,2019-02-13T18:45:03.887410
200,2019-02-13T18:45:08.109423
200,2019-02-13T18:45:09.208327
200,2019-02-13T18:45:13.428807
200,2019-02-13T18:45:14.530629
200,2019-02-13T18:45:18.745057
200,2019-02-13T18:45:19.849934
200,2019-02-13T18:45:24.068974
200,2019-02-13T18:45:25.168154
200,2019-02-13T18:45:29.387920
200,2019-02-13T18:45:30.492432
200,2019-02-13T18:45:34.709249
200,2019-02-13T18:45:35.815051
200,2019-02-13T18:45:40.029886
200,2019-02-13T18:45:41.134720
200,2019-02-13T18:45:45.350309
200,2019-02-13T18:45:46.465382
200,2019-02-13T18:45:50.669111
200,2019-02-13T18:45:51.787272
200,2019-02-13T18:45:55.999300
200,2019-02-13T18:45:57.107613
200,2019-02-13T18:46:01.318078
200,2019-02-13T18:46:02.430748
200,2019-02-13T18:46:06.644519
200,2019-02-13T18:46:07.752384
200,2019-02-13T18:46:11.968445
200,2019-02-13T18:46:13.075235
200,2019-02-13T18:46:17.292662
200,2019-02-13T18:46:18.399136
200,2019-02-13T18:46:22.616125
200,2019-02-13T18:46:23.721674
200,2019-02-13T18:46:27.943316
200,2019-02-13T18:46:29.049645
200,2019-02-13T18:46:33.268284
200,2019-02-13T18:46:34.373681
200,2019-02-13T18:46:38.590870
200,2019-02-13T18:46:39.693690
200,2019-02-13T18:46:43.914182
200,2019-02-13T18:46:45.016904
200,2019-02-13T18:46:49.238643
200,2019-02-13T18:46:54.562152
200,2019-02-13T18:48:09.432400
200,2019-02-13T18:48:14.954645
200,2019-02-13T18:48:20.277361
200,2019-02-13T18:48:25.601674
200,2019-02-13T18:48:30.924042
200,2019-02-13T18:48:36.245768
200,2019-02-13T18:48:41.568645
200,2019-02-13T18:48:46.891362
200,2019-02-13T18:48:52.213422
200,2019-02-13T18:48:57.537798
200,2019-02-13T18:49:02.860984
200,2019-02-13T18:49:08.184591
